日付,PCR 検査陽性者数(単日)
2020/1/16,1.0
2020/1/17,0.0
2020/1/18,0.0
2020/1/19,0.0
2020/1/20,0.0
2020/1/21,0.0
2020/1/22,0.0
2020/1/23,0.0
2020/1/24,1.0
2020/1/25,1.0
2020/1/26,1.0
2020/1/27,0.0
2020/1/28,3.0
2020/1/29,1.0
2020/1/30,4.0
2020/1/31,0.0
2020/2/1,0.0
2020/2/2,0.0
2020/2/3,0.0
2020/2/4,1.0
2020/2/5,2.0
2020/2/6,0.0
2020/2/7,0.0
2020/2/8,0.0
2020/2/9,0.0
2020/2/10,0.0
2020/2/11,1.0
2020/2/12,1.0
2020/2/13,3.0
2020/2/14,5.0
2020/2/15,4.0
2020/2/16,1.0
2020/2/17,6.0
2020/2/18,8.0
2020/2/19,9.0
2020/2/20,8.0
2020/2/21,13.0
2020/2/22,23.0
2020/2/23,10.0
2020/2/24,16.0
2020/2/25,8.0
2020/2/26,22.0
2020/2/27,24.0
2020/2/28,19.0
2020/2/29,9.0
2020/3/1,14.0
2020/3/2,14.0
2020/3/3,22.0
2020/3/4,34.0
2020/3/5,33.0
2020/3/6,54.0
2020/3/7,44.0
2020/3/8,35.0
2020/3/9,27.0
2020/3/10,60.0
2020/3/11,52.0
2020/3/12,55.0
2020/3/13,34.0
2020/3/14,62.0
2020/3/15,29.0
2020/3/16,16.0
2020/3/17,45.0
2020/3/18,39.0
2020/3/19,39.0
2020/3/20,52.0
2020/3/21,35.0
2020/3/22,45.0
2020/3/23,39.0
2020/3/24,89.0
2020/3/25,93.0
2020/3/26,93.0
2020/3/27,96.0
2020/3/28,222.0
2020/3/29,151.0
2020/3/30,80.0
2020/3/31,227.0
2020/4/1,257.0
2020/4/2,281.0
2020/4/3,353.0
2020/4/4,365.0
2020/4/5,346.0
2020/4/6,248.0
2020/4/7,365.0
2020/4/8,522.0
2020/4/9,574.0
2020/4/10,640.0
2020/4/11,644.0
2020/4/12,486.0
2020/4/13,387.0
2020/4/14,446.0
2020/4/15,552.0
2020/4/16,558.0
2020/4/17,572.0
2020/4/18,577.0
2020/4/19,377.0
2020/4/20,346.0
2020/4/21,389.0
2020/4/22,446.0
2020/4/23,439.0
2020/4/24,444.0
2020/4/25,371.0
2020/4/26,224.0
2020/4/27,182.0
2020/4/28,279.0
2020/4/29,217.0
2020/4/30,202.0
2020/5/1,282.0
2020/5/2,288.0
2020/5/3,195.0
2020/5/4,181.0
2020/5/5,119.0
2020/5/6,104.0
2020/5/7,107.0
2020/5/8,88.0
2020/5/9,108.0
2020/5/10,66.0
2020/5/11,58.0
2020/5/12,87.0
2020/5/13,55.0
2020/5/14,99.0
2020/5/15,55.0
2020/5/16,56.0
2020/5/17,29.0
2020/5/18,30.0
2020/5/19,32.0
2020/5/20,37.0
2020/5/21,45.0
2020/5/22,30.0
2020/5/23,30.0
2020/5/24,40.0
2020/5/25,22.0
2020/5/26,27.0
2020/5/27,37.0
2020/5/28,62.0
2020/5/29,63.0
2020/5/30,46.0
2020/5/31,33.0
2020/6/1,36.0
2020/6/2,51.0
2020/6/3,26.0
2020/6/4,45.0
2020/6/5,41.0
2020/6/6,45.0
2020/6/7,32.0
2020/6/8,22.0
2020/6/9,30.0
2020/6/10,36.0
2020/6/11,40.0
2020/6/12,57.0
2020/6/13,43.0
2020/6/14,62.0
2020/6/15,60.0
2020/6/16,42.0
2020/6/17,43.0
2020/6/18,68.0
2020/6/19,54.0
2020/6/20,65.0
2020/6/21,48.0
2020/6/22,40.0
2020/6/23,53.0
2020/6/24,89.0
2020/6/25,79.0
2020/6/26,99.0
2020/6/27,88.0
2020/6/28,111.0
2020/6/29,110.0
2020/6/30,132.0
2020/7/1,125.0
2020/7/2,194.0
2020/7/3,249.0
2020/7/4,268.0
2020/7/5,195.0
2020/7/6,174.0
2020/7/7,203.0
2020/7/8,203.0
2020/7/9,352.0
2020/7/10,418.0
2020/7/11,374.0
2020/7/12,390.0
2020/7/13,246.0
2020/7/14,326.0
2020/7/15,438.0
2020/7/16,619.0
2020/7/17,588.0
2020/7/18,654.0
2020/7/19,501.0
2020/7/20,405.0
2020/7/21,618.0
2020/7/22,792.0
2020/7/23,966.0
2020/7/24,766.0
2020/7/25,796.0
2020/7/26,834.0
2020/7/27,583.0
2020/7/28,971.0
2020/7/29,1245.0
2020/7/30,1305.0
2020/7/31,1575.0
2020/8/1,1537.0
2020/8/2,1325.0
2020/8/3,941.0
2020/8/4,1240.0
2020/8/5,1344.0
2020/8/6,1479.0
2020/8/7,1597.0
2020/8/8,1521.0
2020/8/9,1485.0
2020/8/10,829.0
2020/8/11,691.0
2020/8/12,969.0
2020/8/13,1175.0
2020/8/14,1355.0
2020/8/15,1233.0
2020/8/16,1015.0
2020/8/17,630.0
2020/8/18,903.0
2020/8/19,1078.0
2020/8/20,1176.0
2020/8/21,1035.0
2020/8/22,985.0
2020/8/23,737.0
2020/8/24,491.0
2020/8/25,709.0
2020/8/26,893.0
2020/8/27,870.0
2020/8/28,869.0
2020/8/29,841.0
2020/8/30,598.0
2020/8/31,430.0
2020/9/1,624.0
2020/9/2,585.0
2020/9/3,654.0
2020/9/4,582.0
2020/9/5,598.0
2020/9/6,447.0
2020/9/7,285.0
2020/9/8,510.0
2020/9/9,507.0
2020/9/10,709.0
2020/9/11,637.0
2020/9/12,639.0
2020/9/13,438.0
2020/9/14,262.0
2020/9/15,530.0
2020/9/16,543.0
2020/9/17,478.0
2020/9/18,569.0
2020/9/19,592.0
2020/9/20,469.0
2020/9/21,306.0
2020/9/22,321.0
2020/9/23,216.0
2020/9/24,475.0
2020/9/25,567.0
2020/9/26,634.0
2020/9/27,478.0
2020/9/28,294.0
2020/9/29,527.0
2020/9/30,569.0
2020/10/1,619.0
2020/10/2,537.0
2020/10/3,562.0
2020/10/4,394.0
2020/10/5,269.0
2020/10/6,495.0
2020/10/7,502.0
2020/10/8,623.0
2020/10/9,594.0
2020/10/10,666.0
2020/10/11,431.0
2020/10/12,272.0
2020/10/13,491.0
2020/10/14,550.0
2020/10/15,703.0
2020/10/16,633.0
2020/10/17,611.0
2020/10/18,422.0
2020/10/19,313.0
2020/10/20,475.0
2020/10/21,611.0
2020/10/22,609.0
2020/10/23,742.0
2020/10/24,712.0
2020/10/25,486.0
2020/10/26,401.0
2020/10/27,646.0
2020/10/28,724.0
2020/10/29,803.0
2020/10/30,767.0
2020/10/31,866.0
2020/11/1,603.0
2020/11/2,480.0
2020/11/3,860.0
2020/11/4,606.0
2020/11/5,1046.0
2020/11/6,1137.0
2020/11/7,1301.0
2020/11/8,934.0
2020/11/9,770.0
2020/11/10,1276.0
2020/11/11,1540.0
2020/11/12,1624.0
2020/11/13,1703.0
2020/11/14,1721.0
2020/11/15,1428.0
2020/11/16,949.0
2020/11/17,1685.0
2020/11/18,2173.0
2020/11/19,2382.0
2020/11/20,2425.0
2020/11/21,2570.0
2020/11/22,2146.0
2020/11/23,1513.0
2020/11/24,1219.0
2020/11/25,1925.0
2020/11/26,2494.0
2020/11/27,2510.0
2020/11/28,2667.0
2020/11/29,2046.0
2020/11/30,1425.0
2020/12/1,2014.0
2020/12/2,2419.0
2020/12/3,2505.0
2020/12/4,2435.0
2020/12/5,2496.0
2020/12/6,2010.0
2020/12/7,1502.0
2020/12/8,2166.0
2020/12/9,2801.0
2020/12/10,2966.0
2020/12/11,2795.0
2020/12/12,3010.0
2020/12/13,2375.0
2020/12/14,1681.0
2020/12/15,2400.0
2020/12/16,2990.0
2020/12/17,3206.0
2020/12/18,2832.0
2020/12/19,3040.0
2020/12/20,2398.0
2020/12/21,1791.0
2020/12/22,2674.0
2020/12/23,3270.0
2020/12/24,3797.0
2020/12/25,3934.0
2020/12/26,3702.0
2020/12/27,2942.0
2020/12/28,2397.0
2020/12/29,3609.0
2020/12/30,3884.0
2020/12/31,4500.0
2021/1/1,3248.0
2021/1/2,3057.0
2021/1/3,3139.0
2021/1/4,3330.0
2021/1/5,4958.0
2021/1/6,6066.0
2021/1/7,7793.0
2021/1/8,8045.0
2021/1/9,7528.0
2021/1/10,6130.0
2021/1/11,4901.0
2021/1/12,4630.0
2021/1/13,6086.0
2021/1/14,6749.0
2021/1/15,6795.0
2021/1/16,7028.0
2021/1/17,5758.0
2021/1/18,4947.0
2021/1/19,5355.0
2021/1/20,5643.0
2021/1/21,5743.0
2021/1/22,4821.0
2021/1/23,4711.0
2021/1/24,3988.0
2021/1/25,2760.0
2021/1/26,3851.0
2021/1/27,3968.0
2021/1/28,4122.0
2021/1/29,3547.0
2021/1/30,3330.0
2021/1/31,2673.0
2021/2/1,1782.0
2021/2/2,2321.0
2021/2/3,2648.0
2021/2/4,2574.0
2021/2/5,2371.0
2021/2/6,2277.0
2021/2/7,1627.0
2021/2/8,1215.0
2021/2/9,1568.0
2021/2/10,1885.0
2021/2/11,1689.0
2021/2/12,1297.0
2021/2/13,1355.0
2021/2/14,1360.0
2021/2/15,964.0
2021/2/16,1305.0
2021/2/17,1443.0
2021/2/18,1540.0
2021/2/19,1297.0
2021/2/20,1228.0
2021/2/21,1029.0
2021/2/22,739.0
2021/2/23,1078.0
2021/2/24,923.0
2021/2/25,1064.0
2021/2/26,1057.0
2021/2/27,1208.0
2021/2/28,994.0
2021/3/1,684.0
2021/3/2,887.0
2021/3/3,1240.0
2021/3/4,1168.0
2021/3/5,1145.0
2021/3/6,1045.0
2021/3/7,1061.0
2021/3/8,599.0
2021/3/9,1125.0
2021/3/10,1309.0
2021/3/11,1315.0
2021/3/12,1268.0
2021/3/13,1317.0
2021/3/14,982.0
2021/3/15,688.0
2021/3/16,1130.0
2021/3/17,1520.0
2021/3/18,1492.0
2021/3/19,1453.0
2021/3/20,1517.0
2021/3/21,1110.0
2021/3/22,817.0
2021/3/23,1485.0
2021/3/24,1924.0
2021/3/25,1914.0
2021/3/26,2030.0
2021/3/27,2073.0
2021/3/28,1753.0
2021/3/29,1340.0
2021/3/30,2077.0
2021/3/31,2832.0
2021/4/1,2598.0
2021/4/2,2742.0
2021/4/3,2755.0
2021/4/4,2459.0
2021/4/5,1553.0
2021/4/6,2652.0
2021/4/7,3459.0
2021/4/8,3455.0
2021/4/9,3511.0
2021/4/10,3742.0
2021/4/11,2848.0
2021/4/12,2100.0
2021/4/13,3445.0
2021/4/14,4302.0
2021/4/15,4569.0
2021/4/16,4518.0
2021/4/17,4790.0
2021/4/18,4087.0
2021/4/19,2891.0
2021/4/20,4327.0
2021/4/21,5279.0
2021/4/22,5473.0
2021/4/23,5117.0
2021/4/24,5601.0
2021/4/25,4602.0
2021/4/26,3303.0
2021/4/27,4960.0
2021/4/28,5790.0
2021/4/29,5896.0
2021/4/30,4658.0
2021/5/1,5992.0
2021/5/2,5880.0
2021/5/3,4458.0
2021/5/4,4195.0
2021/5/5,4052.0
2021/5/6,4351.0
2021/5/7,6033.0
2021/5/8,7244.0
2021/5/9,6492.0
2021/5/10,4926.0
2021/5/11,6236.0
2021/5/12,7059.0
2021/5/13,6867.0
2021/5/14,6268.0
2021/5/15,6419.0
2021/5/16,5248.0
2021/5/17,3677.0
2021/5/18,5228.0
2021/5/19,5814.0
2021/5/20,5712.0
2021/5/21,5248.0
2021/5/22,5032.0
2021/5/23,4032.0
2021/5/24,2710.0
2021/5/25,3894.0
2021/5/26,4527.0
2021/5/27,4127.0
2021/5/28,3705.0
2021/5/29,3589.0
2021/5/30,2874.0
2021/5/31,1785.0
2021/6/1,2640.0
2021/6/2,3031.0
2021/6/3,2826.0
2021/6/4,2586.0
2021/6/5,2647.0
2021/6/6,2016.0
2021/6/7,1278.0
2021/6/8,1884.0
2021/6/9,2224.0
2021/6/10,2041.0
2021/6/11,1934.0
2021/6/12,1941.0
2021/6/13,1382.0
2021/6/14,929.0
2021/6/15,1418.0
2021/6/16,1696.0
2021/6/17,1550.0
2021/6/18,1619.0
2021/6/19,1509.0
2021/6/20,1303.0
2021/6/21,864.0
2021/6/22,1433.0
2021/6/23,1776.0
2021/6/24,1669.0
2021/6/25,1706.0
2021/6/26,1620.0
2021/6/27,1280.0
2021/6/28,989.0
2021/6/29,1376.0
2021/6/30,1810.0
2021/7/1,1742.0
2021/7/2,1773.0
2021/7/3,1863.0
2021/7/4,1479.0
2021/7/5,1021.0
2021/7/6,1657.0
2021/7/7,2181.0
2021/7/8,2239.0
2021/7/9,2260.0
2021/7/10,2453.0
2021/7/11,2020.0
2021/7/12,1492.0
2021/7/13,2376.0
2021/7/14,3171.0
2021/7/15,3409.0
2021/7/16,3420.0
2021/7/17,3872.0
2021/7/18,3093.0
2021/7/19,2318.0
2021/7/20,3747.0
2021/7/21,4940.0
2021/7/22,5390.0
2021/7/23,4212.0
2021/7/24,3596.0
2021/7/25,5030.0
2021/7/26,4679.0
2021/7/27,7660.0
2021/7/28,9625.0
2021/7/29,10742.0
2021/7/30,10814.0
2021/7/31,12413.0
2021/8/1,10236.0
2021/8/2,8411.0
2021/8/3,12149.0
2021/8/4,14352.0
2021/8/5,15353.0
2021/8/6,15797.0
2021/8/7,15825.0
2021/8/8,14529.0
2021/8/9,12141.0
2021/8/10,10728.0
2021/8/11,15994.0
2021/8/12,19038.0
2021/8/13,20492.0
2021/8/14,20287.0
2021/8/15,17887.0
2021/8/16,14981.0
2021/8/17,20104.0
2021/8/18,24091.0
2021/8/19,25335.0
2021/8/20,25975.0
2021/8/21,25633.0
2021/8/22,22327.0
2021/8/23,16926.0
2021/8/24,21664.0
2021/8/25,24414.0
2021/8/26,25040.0
2021/8/27,24305.0
2021/8/28,22838.0
2021/8/29,19339.0
2021/8/30,13668.0
2021/8/31,17713.0
2021/9/1,20029.0
2021/9/2,18206.0
2021/9/3,16719.0
2021/9/4,16003.0
2021/9/5,12891.0
2021/9/6,8229.0
2021/9/7,10590.0
2021/9/8,12384.0
2021/9/9,10379.0
2021/9/10,8868.0
2021/9/11,8790.0
2021/9/12,6488.0
2021/9/13,3088.0
2021/9/14,6650.0
2021/9/15,6883.0
2021/9/16,5490.0
2021/9/17,4759.0
2021/9/18,4557.0
2021/9/19,3279.0
2021/9/20,1916.0
2021/9/21,1521.0
2021/9/22,3654.0
2021/9/23,3820.0
2021/9/24,1665.0
2021/9/25,2691.0
2021/9/26,2096.0
2021/9/27,967.0
2021/9/28,1944.0
2021/9/29,1980.0
2021/9/30,1569.0
2021/10/1,1367.0
2021/10/2,1330.0
2021/10/3,874.0
2021/10/4,502.0
2021/10/5,1104.0
2021/10/6,1180.0
2021/10/7,912.0
2021/10/8,810.0
2021/10/9,790.0
2021/10/10,581.0
2021/10/11,285.0
2021/10/12,672.0
2021/10/13,740.0
2021/10/14,644.0
2021/10/15,521.0
2021/10/16,537.0
2021/10/17,381.0
2021/10/18,178.0
2021/10/19,423.0
2021/10/20,427.0
2021/10/21,311.0
2021/10/22,345.0
2021/10/23,307.0
2021/10/24,224.0
2021/10/25,145.0
2021/10/26,349.0
2021/10/27,323.0
2021/10/28,299.0
2021/10/29,321.0
2021/10/30,282.0
2021/10/31,228.0
2021/11/1,77.0
2021/11/2,239.0
2021/11/3,264.0
2021/11/4,120.0
2021/11/5,254.0
2021/11/6,235.0
2021/11/7,156.0
2021/11/8,88.0
2021/11/9,220.0
2021/11/10,207.0
2021/11/11,213.0
2021/11/12,197.0
2021/11/13,199.0
2021/11/14,135.0
2021/11/15,58.0
2021/11/16,144.0
2021/11/17,189.0
2021/11/18,165.0
2021/11/19,143.0
2021/11/20,122.0
2021/11/21,129.0
2021/11/22,22.0
2021/11/23,123.0
2021/11/24,55.0
2021/11/25,117.0
2021/11/26,115.0
2021/11/27,133.0
2021/11/28,66.0
2021/11/29,56.0
2021/11/30,134.0
2021/12/1,126.0
2021/12/2,113.0
2021/12/3,136.0
2021/12/4,123.0
2021/12/5,97.0
2021/12/6,35.0
2021/12/7,113.0
2021/12/8,140.0
2021/12/9,144.0
2021/12/10,119.0
2021/12/11,140.0
2021/12/12,114.0
2021/12/13,57.0
2021/12/14,161.0
2021/12/15,175.0
2021/12/16,142.0
2021/12/17,156.0
2021/12/18,191.0
2021/12/19,156.0
2021/12/20,73.0
2021/12/21,207.0
2021/12/22,237.0
2021/12/23,278.0
2021/12/24,261.0
2021/12/25,299.0
2021/12/26,215.0
2021/12/27,132.0
2021/12/28,347.0
2021/12/29,446.0
2021/12/30,433.0
2021/12/31,450.0
2022/1/1,463.0
2022/1/2,432.0
2022/1/3,787.0
2022/1/4,1094.0
2022/1/5,2783.0
2022/1/6,4478.0
2022/1/7,6549.0
2022/1/8,8644.0
2022/1/9,8125.0
2022/1/10,5675.0
2022/1/11,5672.0
2022/1/12,15504.0
2022/1/13,20907.0
2022/1/14,23828.0
2022/1/15,29329.0
2022/1/16,26469.0
2022/1/17,16860.0
2022/1/18,39974.0
2022/1/19,48407.0
2022/1/20,52747.0
2022/1/21,54594.0
2022/1/22,62819.0
2022/1/23,52170.0
2022/1/24,32186.0
2022/1/25,81024.0
2022/1/26,79502.0
2022/1/27,83862.0
2022/1/28,82834.0
2022/1/29,95514.0
2022/1/30,76811.0
2022/1/31,40746.0
2022/2/1,101155.0
2022/2/2,94923.0
2022/2/3,94646.0
2022/2/4,90322.0
2022/2/5,95625.0
2022/2/6,70919.0
2022/2/7,39649.0
2022/2/8,98488.0
2022/2/9,90790.0
2022/2/10,88061.0
2022/2/11,82635.0
2022/2/12,37217.0
2022/2/13,72932.0
2022/2/14,35531.0
2022/2/15,84183.0
2022/2/16,91006.0
2022/2/17,95143.0
2022/2/18,87663.0
2022/2/19,81576.0
2022/2/20,71423.0
2022/2/21,51930.0
2022/2/22,69475.0
2022/2/23,80315.0
2022/2/24,61189.0
2022/2/25,65616.0
2022/2/26,72113.0
2022/2/27,63630.0
2022/2/28,51272.0
